Modell,Datensatz,Backend,Accuracy,F1,Trainingszeit_s,Inferenzzeit_s,Feature Map,Reps
Quantum Kernel SVM,"Iris (2 Klassen, 2 Features)",AerSimulator,0.65,0.5882,17.13,8.94,ZZFeatureMap,2
Quantum Kernel SVM,"Iris (2 Klassen, 2 Features)",AerSimulator,0.65,0.5882,17.13,8.94,ZZFeatureMap,2
